"parcelle_id","lon","lat","SOC_mean","BD_mean","SOC_unit","BD_unit","depth_cm","rock_fragment","SOC_stock_tCha"
"P001",-5.964177,31.07691,19.05,1.437,"g/kg","kg/dm3",30,0.05,78.02
"P002",-6.383144,32.60798,18.45,1.592,"g/kg","kg/dm3",30,0.05,83.71
"P003",-5.229996,30.30043,7.533,1.438,"g/kg","kg/dm3",30,0.05,30.87
"P004",-6.362314,33.35832,21.117,1.465,"g/kg","kg/dm3",30,0.05,88.17
"P005",-6.968453,33.80896,20.583,1.542,"g/kg","kg/dm3",30,0.05,90.46
"P006",-6.362891,33.64232,19.15,1.517,"g/kg","kg/dm3",30,0.05,82.79
"P007",-5.123456,32.12345,21,1.36,"g/kg","kg/dm3",30,0.05,81.4
"P008",-6.789012,31.56789,28.517,1.305,"g/kg","kg/dm3",30,0.05,106.06
"P009",-5.456789,33.23456,22.333,1.482,"g/kg","kg/dm3",30,0.05,94.33
"P010",-6.234567,32.78901,20.55,1.5,"g/kg","kg/dm3",30,0.05,87.85
"P011",-5.678901,31.34567,8.55,1.42,"g/kg","kg/dm3",30,0.05,34.6
"P012",-6.012345,33.89012,20.617,1.517,"g/kg","kg/dm3",30,0.05,89.14
"P013",-5.345678,32.45678,22.417,1.345,"g/kg","kg/dm3",30,0.05,85.93
"P014",-6.456789,31.90123,15.483,1.463,"g/kg","kg/dm3",30,0.05,64.56
"P015",-5.789012,33.6789,20.35,1.512,"g/kg","kg/dm3",30,0.05,87.69
"P016",-6.123456,32.23456,18.45,1.435,"g/kg","kg/dm3",30,0.05,75.46
"P017",-5.56789,31.78901,20.733,1.388,"g/kg","kg/dm3",30,0.05,82.02
"P018",-6.678901,33.45678,20.517,1.503,"g/kg","kg/dm3",30,0.05,87.89
"P019",-5.901234,32.90123,20.45,1.458,"g/kg","kg/dm3",30,0.05,84.98
"P020",-6.345678,31.12345,19.255,1.457,"g/kg","kg/dm3",30,0.05,79.96
